Unnamed: 0,Operator,Network Type,In Out Travelling,State Name,Call Dropped,Satisfactory,Poor Voice Quality,label
0,Airtel,2G,Indoor,Andhra Pradesh,35.714285714285715,46.42857142857143,17.857142857142858,Average
1,Airtel,2G,Indoor,Assam,0.0,66.66666666666666,33.33333333333333,Very Good
2,Airtel,2G,Indoor,Bihar,0.0,53.84615384615386,46.153846153846146,Average
3,Airtel,2G,Indoor,Delhi,5.5555555555555545,27.777777777777786,66.66666666666666,Poor
4,Airtel,2G,Indoor,Gujarat,2.8169014084507045,88.73239436619718,8.450704225352112,Excellent
5,Airtel,2G,Indoor,Haryana,3.333333333333333,96.66666666666669,0.0,Excellent
6,Airtel,2G,Indoor,Himachal Pradesh,75.0,0.0,25.0,Inadequate
7,Airtel,2G,Indoor,Jharkhand,0.0,100.0,0.0,Excellent
8,Airtel,2G,Indoor,Karnataka,12.871287128712876,31.683168316831683,55.44554455445545,Poor
9,Airtel,2G,Indoor,Kashmir,0.0,0.0,100.0,Inadequate
10,Airtel,2G,Indoor,Kerala,0.0,85.71428571428571,14.285714285714285,Excellent
11,Airtel,2G,Indoor,Madhya Pradesh,33.33333333333333,22.222222222222214,44.444444444444436,Poor
12,Airtel,2G,Indoor,Maharashtra,8.0,44.0,48.0,Average
13,Airtel,2G,Indoor,Manipur,0.0,100.0,0.0,Excellent
14,Airtel,2G,Indoor,Meghalaya,0.0,100.0,0.0,Excellent
15,Airtel,2G,Indoor,Odisha,26.66666666666667,53.33333333333334,20.0,Average
16,Airtel,2G,Indoor,Punjab,0.0,100.0,0.0,Excellent
17,Airtel,2G,Indoor,Rajasthan,100.0,0.0,0.0,Inadequate
18,Airtel,2G,Indoor,Sikkim,14.285714285714285,0.0,85.71428571428571,Inadequate
19,Airtel,2G,Indoor,Tamil Nadu,15.625,46.875,37.5,Average
20,Airtel,2G,Indoor,Telangana,22.58064516129032,24.731182795698924,52.68817204301075,Poor
21,Airtel,2G,Indoor,Uttar Pradesh,9.70873786407767,32.03883495145632,58.25242718446602,Poor
22,Airtel,2G,Indoor,Uttarakhand,25.75757575757576,1.5151515151515151,72.72727272727273,Inadequate
23,Airtel,2G,Indoor,West Bengal,7.6923076923076925,61.53846153846154,30.76923076923077,Very Good
24,Airtel,2G,Outdoor,Andhra Pradesh,14.000000000000002,16.0,70.0,Inadequate
25,Airtel,2G,Outdoor,Bihar,0.0,82.85714285714286,17.142857142857142,Excellent
26,Airtel,2G,Outdoor,Chattisgarh,91.66666666666666,8.333333333333332,0.0,Inadequate
27,Airtel,2G,Outdoor,Delhi,0.0,33.33333333333333,66.66666666666666,Poor
28,Airtel,2G,Outdoor,Gujarat,0.0,70.0,30.0,Very Good
29,Airtel,2G,Outdoor,Haryana,28.57142857142857,14.285714285714285,57.14285714285714,Inadequate
30,Airtel,2G,Outdoor,Himachal Pradesh,0.0,75.0,25.0,Very Good
31,Airtel,2G,Outdoor,Jharkhand,0.0,25.0,75.0,Poor
32,Airtel,2G,Outdoor,Karnataka,25.0,29.16666666666667,45.83333333333333,Poor
33,Airtel,2G,Outdoor,Kashmir,0.0,0.0,100.0,Inadequate
34,Airtel,2G,Outdoor,Kerala,16.666666666666664,66.66666666666666,16.666666666666664,Very Good
35,Airtel,2G,Outdoor,Madhya Pradesh,80.0,20.0,0.0,Inadequate
36,Airtel,2G,Outdoor,Maharashtra,21.428571428571427,25.0,53.57142857142857,Poor
37,Airtel,2G,Outdoor,Odisha,0.0,66.66666666666666,33.33333333333333,Very Good
38,Airtel,2G,Outdoor,Punjab,75.0,25.0,0.0,Poor
39,Airtel,2G,Outdoor,Rajasthan,0.0,55.55555555555557,44.444444444444436,Average
40,Airtel,2G,Outdoor,Tamil Nadu,27.27272727272727,54.54545454545454,18.181818181818183,Average
41,Airtel,2G,Outdoor,Telangana,14.285714285714285,43.75,41.964285714285715,Average
42,Airtel,2G,Outdoor,Uttar Pradesh,8.433734939759036,15.662650602409641,75.90361445783131,Inadequate
43,Airtel,2G,Outdoor,Uttarakhand,23.07692307692308,0.0,76.92307692307693,Inadequate
44,Airtel,2G,Outdoor,West Bengal,0.0,72.72727272727273,27.27272727272727,Very Good
45,Airtel,2G,Travelling,Andhra Pradesh,28.57142857142857,4.761904761904762,66.66666666666666,Inadequate
46,Airtel,2G,Travelling,Bihar,25.0,25.0,50.0,Poor
47,Airtel,2G,Travelling,Chattisgarh,100.0,0.0,0.0,Inadequate
48,Airtel,2G,Travelling,Delhi,28.57142857142857,14.285714285714285,57.14285714285714,Inadequate
49,Airtel,2G,Travelling,Gujarat,14.285714285714285,71.42857142857143,14.285714285714285,Very Good
50,Airtel,2G,Travelling,Haryana,0.0,50.0,50.0,Average
51,Airtel,2G,Travelling,Himachal Pradesh,0.0,100.0,0.0,Excellent
