State,operator
Andaman and Nicobar Islands,BSNL
Andhra Pradesh,RJio
Assam,RJio
Bihar,RJio
Chandigarh,RJio
Chattisgarh,RJio
Dadra and Nagar Haveli,RJio
Daman and Diu,RJio
Delhi,RJio
Goa,RJio
Gujarat,RJio
Haryana,RJio
Himachal Pradesh,RJio
Jharkhand,RJio
Karnataka,RJio
Kerala,RJio
Madhya Pradesh,RJio
Maharashtra,RJio
Manipur,BSNL
Meghalaya,Airtel
Mizoram,RJio
Nagaland,Airtel
Odisha,RJio
Pondicherry,BSNL
Punjab,RJio
Rajasthan,RJio
Sikkim,RJio
Tamil Nadu,RJio
Telangana,Idea
Tripura,RJio
Uttar Pradesh,RJio
Uttarakhand,Airtel
West Bengal,RJio
