,State,operator,bin,size,size2,fraction
0,Andaman and Nicobar Islands,Airtel,"(-0.1, 20.0]",1,1,1.0
1,Andaman and Nicobar Islands,BSNL,"(-0.1, 20.0]",5,9,0.5555555555555556
2,Andaman and Nicobar Islands,BSNL,"(60.0, 80.0]",2,9,0.2222222222222222
3,Andaman and Nicobar Islands,BSNL,"(80.0, 100.0]",2,9,0.2222222222222222
4,Andaman and Nicobar Islands,Vodafone,"(80.0, 100.0]",1,1,1.0
5,Andhra Pradesh,Airtel,"(-0.1, 20.0]",3,9,0.3333333333333333
6,Andhra Pradesh,Airtel,"(20.0, 40.0]",1,9,0.1111111111111111
7,Andhra Pradesh,Airtel,"(40.0, 60.0]",2,9,0.2222222222222222
8,Andhra Pradesh,Airtel,"(60.0, 80.0]",1,9,0.1111111111111111
9,Andhra Pradesh,Airtel,"(80.0, 100.0]",2,9,0.2222222222222222
10,Andhra Pradesh,BSNL,"(20.0, 40.0]",1,9,0.1111111111111111
11,Andhra Pradesh,BSNL,"(40.0, 60.0]",2,9,0.2222222222222222
12,Andhra Pradesh,BSNL,"(60.0, 80.0]",2,9,0.2222222222222222
13,Andhra Pradesh,BSNL,"(80.0, 100.0]",4,9,0.4444444444444444
14,Andhra Pradesh,Idea,"(-0.1, 20.0]",1,8,0.125
15,Andhra Pradesh,Idea,"(40.0, 60.0]",3,8,0.375
16,Andhra Pradesh,Idea,"(60.0, 80.0]",3,8,0.375
17,Andhra Pradesh,Idea,"(80.0, 100.0]",1,8,0.125
18,Andhra Pradesh,Other,"(-0.1, 20.0]",2,2,1.0
19,Andhra Pradesh,RJio,"(80.0, 100.0]",6,6,1.0
20,Andhra Pradesh,Tata,"(-0.1, 20.0]",2,5,0.4
21,Andhra Pradesh,Tata,"(80.0, 100.0]",3,5,0.6
22,Andhra Pradesh,Vodafone,"(-0.1, 20.0]",1,7,0.14285714285714285
23,Andhra Pradesh,Vodafone,"(40.0, 60.0]",1,7,0.14285714285714285
24,Andhra Pradesh,Vodafone,"(60.0, 80.0]",2,7,0.2857142857142857
25,Andhra Pradesh,Vodafone,"(80.0, 100.0]",3,7,0.42857142857142855
26,Assam,Airtel,"(-0.1, 20.0]",1,7,0.14285714285714285
27,Assam,Airtel,"(20.0, 40.0]",1,7,0.14285714285714285
28,Assam,Airtel,"(60.0, 80.0]",3,7,0.42857142857142855
29,Assam,Airtel,"(80.0, 100.0]",2,7,0.2857142857142857
30,Assam,BSNL,"(-0.1, 20.0]",1,3,0.3333333333333333
31,Assam,BSNL,"(80.0, 100.0]",2,3,0.6666666666666666
32,Assam,Idea,"(80.0, 100.0]",1,1,1.0
33,Assam,Other,"(80.0, 100.0]",2,2,1.0
34,Assam,RJio,"(40.0, 60.0]",2,3,0.6666666666666666
35,Assam,RJio,"(80.0, 100.0]",1,3,0.3333333333333333
36,Assam,Vodafone,"(-0.1, 20.0]",1,6,0.16666666666666666
37,Assam,Vodafone,"(20.0, 40.0]",1,6,0.16666666666666666
38,Assam,Vodafone,"(60.0, 80.0]",1,6,0.16666666666666666
39,Assam,Vodafone,"(80.0, 100.0]",3,6,0.5
40,Bihar,Airtel,"(20.0, 40.0]",1,9,0.1111111111111111
41,Bihar,Airtel,"(40.0, 60.0]",2,9,0.2222222222222222
42,Bihar,Airtel,"(60.0, 80.0]",3,9,0.3333333333333333
43,Bihar,Airtel,"(80.0, 100.0]",3,9,0.3333333333333333
44,Bihar,BSNL,"(-0.1, 20.0]",2,5,0.4
45,Bihar,BSNL,"(20.0, 40.0]",2,5,0.4
46,Bihar,BSNL,"(80.0, 100.0]",1,5,0.2
47,Bihar,Idea,"(-0.1, 20.0]",2,9,0.2222222222222222
48,Bihar,Idea,"(20.0, 40.0]",1,9,0.1111111111111111
49,Bihar,Idea,"(40.0, 60.0]",1,9,0.1111111111111111
50,Bihar,Idea,"(60.0, 80.0]",2,9,0.2222222222222222
51,Bihar,Idea,"(80.0, 100.0]",3,9,0.3333333333333333
52,Bihar,Other,"(80.0, 100.0]",2,2,1.0
53,Bihar,RJio,"(40.0, 60.0]",1,4,0.25
54,Bihar,RJio,"(60.0, 80.0]",2,4,0.5
55,Bihar,RJio,"(80.0, 100.0]",1,4,0.25
56,Bihar,Vodafone,"(-0.1, 20.0]",3,6,0.5
57,Bihar,Vodafone,"(40.0, 60.0]",1,6,0.16666666666666666
58,Bihar,Vodafone,"(60.0, 80.0]",1,6,0.16666666666666666
59,Bihar,Vodafone,"(80.0, 100.0]",1,6,0.16666666666666666
60,Chandigarh,Airtel,"(-0.1, 20.0]",2,6,0.3333333333333333
61,Chandigarh,Airtel,"(20.0, 40.0]",1,6,0.16666666666666666
62,Chandigarh,Airtel,"(40.0, 60.0]",1,6,0.16666666666666666
63,Chandigarh,Airtel,"(60.0, 80.0]",1,6,0.16666666666666666
64,Chandigarh,Airtel,"(80.0, 100.0]",1,6,0.16666666666666666
65,Chandigarh,Idea,"(40.0, 60.0]",1,2,0.5
66,Chandigarh,Idea,"(80.0, 100.0]",1,2,0.5
67,Chandigarh,RJio,"(60.0, 80.0]",2,3,0.6666666666666666
68,Chandigarh,RJio,"(80.0, 100.0]",1,3,0.3333333333333333
69,Chandigarh,Vodafone,"(-0.1, 20.0]",3,5,0.6
